observableId	simulationConditionId	measurement	time	noiseParameters
y_obs	LML	37	3	sd_y_obs
y_obs	LML	76	3	sd_y_obs
y_obs	LML	197	3	sd_y_obs
y_obs	LML	239	3	sd_y_obs
y_obs	LML	61	3	sd_y_obs
y_obs	LML	34	3	sd_y_obs
y_obs	LML	-54	3	sd_y_obs
y_obs	LML	14	3	sd_y_obs
y_obs	LML	174	3	sd_y_obs
y_obs	LML	229	3	sd_y_obs
y_obs	LML	77	3	sd_y_obs
y_obs	LML	103	3	sd_y_obs
y_obs	LML	152	3	sd_y_obs
y_obs	LML	35	3	sd_y_obs
y_obs	LML	134	3	sd_y_obs
y_obs	LML	149	3	sd_y_obs
y_obs	LML	208	3	sd_y_obs
y_obs	LML	176	3	sd_y_obs
y_obs	LML	229	3	sd_y_obs
y_obs	LML	248	3	sd_y_obs
y_obs	LML	192	3	sd_y_obs
y_obs	LML	49	3	sd_y_obs
y_obs	LML	72	3	sd_y_obs
y_obs	LML	173	3	sd_y_obs
y_obs	LML	73	3	sd_y_obs
y_obs	LML	236	3	sd_y_obs
y_obs	LML	48	3	sd_y_obs
y_obs	LML	100	2	sd_y_obs
y_obs	LML	176	2	sd_y_obs
y_obs	LML	130	2	sd_y_obs
y_obs	LML	48	2	sd_y_obs
y_obs	LML	9	2	sd_y_obs
y_obs	LML	-38	2	sd_y_obs
y_obs	LML	-126	2	sd_y_obs
y_obs	LML	102	2	sd_y_obs
y_obs	LML	202	2	sd_y_obs
y_obs	LML	150	2	sd_y_obs
y_obs	LML	249	2	sd_y_obs
y_obs	LML	304	2	sd_y_obs
y_obs	LML	363	2	sd_y_obs
y_obs	LML	74	2	sd_y_obs
y_obs	LML	-81	2	sd_y_obs
y_obs	LML	-100	2	sd_y_obs
y_obs	LML	-133	2	sd_y_obs
y_obs	LML	76	2	sd_y_obs
y_obs	LML	163	2	sd_y_obs
y_obs	LML	281	2	sd_y_obs
y_obs	LML	259	2	sd_y_obs
y_obs	LML	253	2	sd_y_obs
y_obs	LML	280	2	sd_y_obs
y_obs	LML	146	2	sd_y_obs
y_obs	LML	32	2	sd_y_obs
y_obs	LML	48	2	sd_y_obs
y_obs	LML	98	2	sd_y_obs
y_obs	LML	-18	2	sd_y_obs
y_obs	LML	105	2	sd_y_obs
y_obs	LML	103	2	sd_y_obs
y_obs	LML	121	2	sd_y_obs
y_obs	LML	266	2	sd_y_obs
y_obs	LML	219	2	sd_y_obs
y_obs	LML	134	2	sd_y_obs
y_obs	LML	-65	2	sd_y_obs
y_obs	LML	-49	2	sd_y_obs
y_obs	LML	79	2	sd_y_obs
y_obs	LML	130	2	sd_y_obs
y_obs	LML	131	2	sd_y_obs
y_obs	LML	75	2	sd_y_obs
y_obs	LML	243	2	sd_y_obs
y_obs	LML	288	2	sd_y_obs
y_obs	LML	-42	2	sd_y_obs
y_obs	LML	-20	2	sd_y_obs
y_obs	LML	276	2	sd_y_obs
y_obs	LML	383	2	sd_y_obs
y_obs	LML	434	2	sd_y_obs
y_obs	LML	317	2	sd_y_obs
y_obs	LML	181	2	sd_y_obs
y_obs	LML	141	2	sd_y_obs
y_obs	LML	291	2	sd_y_obs
y_obs	LML	450	2	sd_y_obs
y_obs	LML	387	2	sd_y_obs
y_obs	LML	203	2	sd_y_obs
y_obs	LML	308	3	sd_y_obs
y_obs	LML	206	3	sd_y_obs
y_obs	LML	180	3	sd_y_obs
y_obs	LML	135	3	sd_y_obs
y_obs	LML	127	3	sd_y_obs
y_obs	LML	117	3	sd_y_obs
y_obs	LML	88	3	sd_y_obs
y_obs	LML	-73	3	sd_y_obs
y_obs	LML	88	3	sd_y_obs
y_obs	LML	172	3	sd_y_obs
y_obs	LML	516	3	sd_y_obs
y_obs	LML	587	3	sd_y_obs
y_obs	LML	220	3	sd_y_obs
y_obs	LML	203	3	sd_y_obs
y_obs	LML	-44	3	sd_y_obs
y_obs	LML	-17	3	sd_y_obs
y_obs	LML	38	3	sd_y_obs
y_obs	LML	161	3	sd_y_obs
y_obs	LML	257	3	sd_y_obs
y_obs	LML	107	3	sd_y_obs
y_obs	LML	16	3	sd_y_obs
y_obs	LML	81	3	sd_y_obs
y_obs	LML	262	3	sd_y_obs
y_obs	LML	229	3	sd_y_obs
y_obs	LML	83	3	sd_y_obs
y_obs	LML	66	3	sd_y_obs
y_obs	LML	202	3	sd_y_obs
y_obs	LML	58	3	sd_y_obs
y_obs	LML	180	3	sd_y_obs
y_obs	LML	303	3	sd_y_obs
y_obs	LML	284	3	sd_y_obs
y_obs	LML	459	3	sd_y_obs
y_obs	LML	332	3	sd_y_obs
y_obs	LML	252	3	sd_y_obs
y_obs	LML	129	3	sd_y_obs
y_obs	LML	13	3	sd_y_obs
y_obs	LML	-40	3	sd_y_obs
y_obs	LML	185	3	sd_y_obs
y_obs	LML	-18	3	sd_y_obs
y_obs	LML	-1	3	sd_y_obs
y_obs	LML	52	3	sd_y_obs
y_obs	LML	453	3	sd_y_obs
y_obs	LML	864	3	sd_y_obs
y_obs	LML	629	3	sd_y_obs
y_obs	LML	502	3	sd_y_obs
y_obs	LML	330	3	sd_y_obs
y_obs	LML	-42	3	sd_y_obs
y_obs	LML	-64	3	sd_y_obs
y_obs	LML	-79	3	sd_y_obs
y_obs	LML	34	3	sd_y_obs
y_obs	LML	91	3	sd_y_obs
y_obs	LML	413	3	sd_y_obs
y_obs	LML	434	3	sd_y_obs
y_obs	LML	598	3	sd_y_obs
y_obs	LML	614	3	sd_y_obs
y_obs	LML	186	3	sd_y_obs
y_obs	LML	55	3	sd_y_obs
y_obs	LML	46	3	sd_y_obs
y_obs	LML	6	3	sd_y_obs
y_obs	LML	-20	3	sd_y_obs
y_obs	LML	69	3	sd_y_obs
y_obs	LML	162	3	sd_y_obs
y_obs	LML	133	3	sd_y_obs
y_obs	LML	611	3	sd_y_obs
y_obs	LML	725	3	sd_y_obs
y_obs	LML	286	3	sd_y_obs
y_obs	LML	146	3	sd_y_obs
y_obs	LML	111	3	sd_y_obs
y_obs	LML	148	3	sd_y_obs
y_obs	LML	35	3	sd_y_obs
y_obs	LML	99	3	sd_y_obs
y_obs	LML	240	3	sd_y_obs
y_obs	LML	492	3	sd_y_obs
y_obs	LML	649	3	sd_y_obs
y_obs	LML	292	3	sd_y_obs
y_obs	LML	108	3	sd_y_obs
y_obs	LML	76	3	sd_y_obs
y_obs	LML	51	3	sd_y_obs
y_obs	LML	39	3	sd_y_obs
y_obs	LML	12	3	sd_y_obs
y_obs	LML	243	3	sd_y_obs
y_obs	LML	300	3	sd_y_obs
y_obs	LML	160	3	sd_y_obs
y_obs	LML	123	3	sd_y_obs
y_obs	LML	81	3	sd_y_obs
y_obs	LML	27	3	sd_y_obs
y_obs	LML	35	3	sd_y_obs
y_obs	LML	89	3	sd_y_obs
y_obs	LML	60	3	sd_y_obs
y_obs	LML	160	3	sd_y_obs
y_obs	LML	195	3	sd_y_obs
y_obs	LML	67	3	sd_y_obs
y_obs	LML	-36	3	sd_y_obs
y_obs	LML	63	3	sd_y_obs
y_obs	LML	3	3	sd_y_obs
y_obs	LML	74	3	sd_y_obs
y_obs	LML	-10	3	sd_y_obs
y_obs	LML	-29	3	sd_y_obs
y_obs	LML	43	3	sd_y_obs
y_obs	LML	-33	3	sd_y_obs
y_obs	LML	69	3	sd_y_obs
y_obs	LML	89	3	sd_y_obs
y_obs	LML	90	3	sd_y_obs
y_obs	LML	10	3	sd_y_obs
y_obs	LML	172	2	sd_y_obs
y_obs	LML	85	2	sd_y_obs
y_obs	LML	210	2	sd_y_obs
y_obs	LML	78	2	sd_y_obs
y_obs	LML	286	2	sd_y_obs
y_obs	LML	221	2	sd_y_obs
y_obs	LML	19	2	sd_y_obs
y_obs	LML	-105	2	sd_y_obs
y_obs	LML	717	2	sd_y_obs
y_obs	LML	362	2	sd_y_obs
y_obs	LML	38	2	sd_y_obs
y_obs	LML	90	2	sd_y_obs
y_obs	LML	196	2	sd_y_obs
y_obs	LML	197	2	sd_y_obs
y_obs	LML	94	2	sd_y_obs
y_obs	LML	114	2	sd_y_obs
y_obs	LML	46	2	sd_y_obs
y_obs	LML	98	2	sd_y_obs
y_obs	LML	78	2	sd_y_obs
y_obs	LML	16	2	sd_y_obs
y_obs	LML	560	2	sd_y_obs
y_obs	LML	379	2	sd_y_obs
y_obs	LML	366	2	sd_y_obs
y_obs	LML	219	2	sd_y_obs
y_obs	LML	124	2	sd_y_obs
y_obs	LML	79	2	sd_y_obs
y_obs	LML	295	2	sd_y_obs
y_obs	LML	127	2	sd_y_obs
y_obs	LML	72	2	sd_y_obs
y_obs	LML	-76	2	sd_y_obs
y_obs	LML	-41	2	sd_y_obs
y_obs	LML	44	2	sd_y_obs
y_obs	LML	190	2	sd_y_obs
y_obs	LML	178	2	sd_y_obs
y_obs	LML	81	2	sd_y_obs
y_obs	LML	54	2	sd_y_obs
y_obs	LML	121	2	sd_y_obs
y_obs	LML	-18	2	sd_y_obs
y_obs	LML	217	2	sd_y_obs
y_obs	LML	185	2	sd_y_obs
y_obs	LML	7	2	sd_y_obs
y_obs	LML	-22	2	sd_y_obs
y_obs	LML	63	2	sd_y_obs
y_obs	LML	234	2	sd_y_obs
y_obs	LML	151	2	sd_y_obs
y_obs	LML	-26	2	sd_y_obs
y_obs	LML	-72	2	sd_y_obs
y_obs	LML	-59	2	sd_y_obs
y_obs	LML	70	2	sd_y_obs
y_obs	LML	130	2	sd_y_obs
y_obs	LML	245	2	sd_y_obs
y_obs	LML	175	2	sd_y_obs
y_obs	LML	91	2	sd_y_obs
y_obs	LML	-18	2	sd_y_obs
y_obs	LML	72	2	sd_y_obs
y_obs	LML	84	2	sd_y_obs
y_obs	LML	121	2	sd_y_obs
y_obs	LML	-35	2	sd_y_obs
y_obs	LML	-128	2	sd_y_obs
y_obs	LML	-87	2	sd_y_obs
y_obs	LML	112	2	sd_y_obs
y_obs	LML	166	2	sd_y_obs
y_obs	LML	208	2	sd_y_obs
y_obs	LML	85	2	sd_y_obs
y_obs	LML	59	2	sd_y_obs
y_obs	LML	8	2	sd_y_obs
y_obs	LML	92	2	sd_y_obs
y_obs	LML	151	2	sd_y_obs
y_obs	LML	335	2	sd_y_obs
y_obs	LML	285	2	sd_y_obs
