observableId	simulationConditionId	measurement	time	noiseParameters
y_obs	RL	105	3	sd_y_obs
y_obs	RL	250	3	sd_y_obs
y_obs	RL	97	3	sd_y_obs
y_obs	RL	40	3	sd_y_obs
y_obs	RL	112	3	sd_y_obs
y_obs	RL	52	3	sd_y_obs
y_obs	RL	-12	3	sd_y_obs
y_obs	RL	-42	3	sd_y_obs
y_obs	RL	131	3	sd_y_obs
y_obs	RL	36	3	sd_y_obs
y_obs	RL	16	3	sd_y_obs
y_obs	RL	66	3	sd_y_obs
y_obs	RL	28	3	sd_y_obs
y_obs	RL	171	3	sd_y_obs
y_obs	RL	104	3	sd_y_obs
y_obs	RL	-29	3	sd_y_obs
y_obs	RL	-7	3	sd_y_obs
y_obs	RL	46	3	sd_y_obs
y_obs	RL	-72	3	sd_y_obs
y_obs	RL	63	3	sd_y_obs
y_obs	RL	56	3	sd_y_obs
y_obs	RL	74	3	sd_y_obs
y_obs	RL	118	3	sd_y_obs
y_obs	RL	80	3	sd_y_obs
y_obs	RL	104	3	sd_y_obs
y_obs	RL	234	3	sd_y_obs
y_obs	RL	202	3	sd_y_obs
y_obs	RL	123	3	sd_y_obs
y_obs	RL	69	3	sd_y_obs
y_obs	RL	-15	3	sd_y_obs
y_obs	RL	15	3	sd_y_obs
y_obs	RL	99	3	sd_y_obs
y_obs	RL	153	3	sd_y_obs
y_obs	RL	66	3	sd_y_obs
y_obs	RL	237	3	sd_y_obs
y_obs	RL	239	3	sd_y_obs
y_obs	RL	259	3	sd_y_obs
y_obs	RL	184	3	sd_y_obs
y_obs	RL	11	3	sd_y_obs
y_obs	RL	153	3	sd_y_obs
y_obs	RL	147	3	sd_y_obs
y_obs	RL	27	3	sd_y_obs
y_obs	RL	6	3	sd_y_obs
y_obs	RL	296	3	sd_y_obs
y_obs	RL	276	3	sd_y_obs
y_obs	RL	220	3	sd_y_obs
y_obs	RL	27	3	sd_y_obs
y_obs	RL	4	3	sd_y_obs
y_obs	RL	37	3	sd_y_obs
y_obs	RL	44	3	sd_y_obs
y_obs	RL	0	3	sd_y_obs
y_obs	RL	100	3	sd_y_obs
y_obs	RL	92	3	sd_y_obs
y_obs	RL	44	3	sd_y_obs
y_obs	RL	884	3	sd_y_obs
y_obs	RL	820	3	sd_y_obs
y_obs	RL	400	3	sd_y_obs
y_obs	RL	248	3	sd_y_obs
y_obs	RL	168	3	sd_y_obs
y_obs	RL	233	3	sd_y_obs
y_obs	RL	292	3	sd_y_obs
y_obs	RL	363	3	sd_y_obs
y_obs	RL	211	3	sd_y_obs
y_obs	RL	62	3	sd_y_obs
y_obs	RL	800	3	sd_y_obs
y_obs	RL	881	3	sd_y_obs
y_obs	RL	470	3	sd_y_obs
y_obs	RL	368	3	sd_y_obs
y_obs	RL	313	3	sd_y_obs
y_obs	RL	275	3	sd_y_obs
y_obs	RL	156	3	sd_y_obs
y_obs	RL	98	3	sd_y_obs
y_obs	RL	87	3	sd_y_obs
y_obs	RL	161	3	sd_y_obs
y_obs	RL	163	3	sd_y_obs
y_obs	RL	122	3	sd_y_obs
y_obs	RL	150	3	sd_y_obs
y_obs	RL	45	3	sd_y_obs
y_obs	RL	-58	3	sd_y_obs
y_obs	RL	37	3	sd_y_obs
y_obs	RL	161	3	sd_y_obs
y_obs	RL	-155	3	sd_y_obs
y_obs	RL	122	3	sd_y_obs
y_obs	RL	218	3	sd_y_obs
y_obs	RL	91	3	sd_y_obs
y_obs	RL	-129	3	sd_y_obs
y_obs	RL	-165	3	sd_y_obs
y_obs	RL	424	3	sd_y_obs
y_obs	RL	269	3	sd_y_obs
y_obs	RL	-30	3	sd_y_obs
y_obs	RL	-81	3	sd_y_obs
y_obs	RL	-15	3	sd_y_obs
y_obs	RL	437	3	sd_y_obs
y_obs	RL	160	3	sd_y_obs
y_obs	RL	-102	3	sd_y_obs
y_obs	RL	-103	3	sd_y_obs
y_obs	RL	269	3	sd_y_obs
y_obs	RL	149	3	sd_y_obs
y_obs	RL	-47	3	sd_y_obs
y_obs	RL	-125	3	sd_y_obs
y_obs	RL	77	3	sd_y_obs
y_obs	RL	161	3	sd_y_obs
y_obs	RL	-84	3	sd_y_obs
y_obs	RL	-150	3	sd_y_obs
y_obs	RL	82	3	sd_y_obs
y_obs	RL	261	3	sd_y_obs
y_obs	RL	130	2	sd_y_obs
y_obs	RL	16	2	sd_y_obs
y_obs	RL	202	2	sd_y_obs
y_obs	RL	96	2	sd_y_obs
y_obs	RL	151	2	sd_y_obs
y_obs	RL	78	2	sd_y_obs
y_obs	RL	82	2	sd_y_obs
y_obs	RL	75	2	sd_y_obs
y_obs	RL	-8	2	sd_y_obs
y_obs	RL	178	2	sd_y_obs
y_obs	RL	193	2	sd_y_obs
y_obs	RL	228	2	sd_y_obs
y_obs	RL	187	2	sd_y_obs
y_obs	RL	135	2	sd_y_obs
y_obs	RL	61	2	sd_y_obs
y_obs	RL	37	2	sd_y_obs
y_obs	RL	-1	2	sd_y_obs
y_obs	RL	2	2	sd_y_obs
y_obs	RL	33	2	sd_y_obs
y_obs	RL	-41	2	sd_y_obs
y_obs	RL	-7	2	sd_y_obs
y_obs	RL	8	2	sd_y_obs
y_obs	RL	143	2	sd_y_obs
y_obs	RL	134	2	sd_y_obs
y_obs	RL	62	2	sd_y_obs
y_obs	RL	112	2	sd_y_obs
y_obs	RL	53	2	sd_y_obs
y_obs	RL	52	2	sd_y_obs
y_obs	RL	33	2	sd_y_obs
y_obs	RL	35	2	sd_y_obs
y_obs	RL	26	2	sd_y_obs
y_obs	RL	54	2	sd_y_obs
y_obs	RL	99	2	sd_y_obs
y_obs	RL	68	2	sd_y_obs
y_obs	RL	202	2	sd_y_obs
y_obs	RL	60	2	sd_y_obs
y_obs	RL	214	2	sd_y_obs
y_obs	RL	167	2	sd_y_obs
y_obs	RL	92	2	sd_y_obs
y_obs	RL	24	2	sd_y_obs
y_obs	RL	78	2	sd_y_obs
y_obs	RL	79	2	sd_y_obs
y_obs	RL	28	2	sd_y_obs
y_obs	RL	70	2	sd_y_obs
y_obs	RL	111	2	sd_y_obs
y_obs	RL	-10	2	sd_y_obs
y_obs	RL	36	2	sd_y_obs
y_obs	RL	96	2	sd_y_obs
y_obs	RL	42	2	sd_y_obs
y_obs	RL	126	2	sd_y_obs
y_obs	RL	102	2	sd_y_obs
y_obs	RL	175	2	sd_y_obs
y_obs	RL	115	2	sd_y_obs
y_obs	RL	24	2	sd_y_obs
y_obs	RL	-27	2	sd_y_obs
y_obs	RL	108	2	sd_y_obs
y_obs	RL	48	2	sd_y_obs
y_obs	RL	-60	2	sd_y_obs
y_obs	RL	-21	2	sd_y_obs
y_obs	RL	87	2	sd_y_obs
y_obs	RL	42	2	sd_y_obs
y_obs	RL	104	2	sd_y_obs
y_obs	RL	80	2	sd_y_obs
y_obs	RL	42	2	sd_y_obs
y_obs	RL	53	2	sd_y_obs
y_obs	RL	9	2	sd_y_obs
y_obs	RL	60	2	sd_y_obs
y_obs	RL	96	2	sd_y_obs
y_obs	RL	165	2	sd_y_obs
y_obs	RL	130	2	sd_y_obs
y_obs	RL	91	2	sd_y_obs
y_obs	RL	165	2	sd_y_obs
y_obs	RL	103	2	sd_y_obs
y_obs	RL	9	2	sd_y_obs
y_obs	RL	19	2	sd_y_obs
y_obs	RL	18	2	sd_y_obs
y_obs	RL	70	2	sd_y_obs
y_obs	RL	12	2	sd_y_obs
y_obs	RL	35	2	sd_y_obs
y_obs	RL	61	2	sd_y_obs
y_obs	RL	-43	2	sd_y_obs
y_obs	RL	272	2	sd_y_obs
y_obs	RL	269	2	sd_y_obs
y_obs	RL	214	2	sd_y_obs
y_obs	RL	233	2	sd_y_obs
y_obs	RL	158	2	sd_y_obs
y_obs	RL	130	2	sd_y_obs
y_obs	RL	129	2	sd_y_obs
y_obs	RL	-38	2	sd_y_obs
y_obs	RL	81	2	sd_y_obs
y_obs	RL	141	2	sd_y_obs
y_obs	RL	95	2	sd_y_obs
y_obs	RL	90	2	sd_y_obs
y_obs	RL	-19	2	sd_y_obs
y_obs	RL	-47	2	sd_y_obs
