observableId	simulationConditionId	measurement	time	noiseParameters
y_obs	condition1	100.0	0.0	sd1_y_obs
y_obs	condition1	100.0	0.0	sd1_y_obs
y_obs	condition1	100.0	0.0	sd1_y_obs
y_obs	condition1	100.0	0.0	sd1_y_obs
y_obs	condition1	100.0	0.0	sd1_y_obs
y_obs	condition1	100.0	0.0	sd1_y_obs
y_obs	condition1	1330.0	0.167	sd1_y_obs
y_obs	condition1	1110.0	0.167	sd1_y_obs
y_obs	condition1	1780.0	0.167	sd1_y_obs
y_obs	condition1	920.0	0.167	sd1_y_obs
y_obs	condition1	1230.0	0.167	sd1_y_obs
y_obs	condition1	1740.0	0.167	sd1_y_obs
y_obs	condition1	1108.0	0.5	sd1_y_obs
y_obs	condition1	1540.0	0.5	sd1_y_obs
y_obs	condition1	2183.0	0.5	sd1_y_obs
y_obs	condition1	416.0	0.5	sd1_y_obs
y_obs	condition1	2058.0	0.5	sd1_y_obs
y_obs	condition1	2228.0	0.5	sd1_y_obs
y_obs	condition1	673.0	1.0	sd1_y_obs
y_obs	condition1	1916.0	1.0	sd1_y_obs
y_obs	condition1	937.0	1.0	sd1_y_obs
y_obs	condition1	1796.0	1.0	sd1_y_obs
y_obs	condition1	1668.0	1.0	sd1_y_obs
y_obs	condition1	2060.0	1.0	sd1_y_obs
y_obs	condition1	1164.0	1.5	sd1_y_obs
y_obs	condition1	1148.0	1.5	sd1_y_obs
y_obs	condition1	1557.0	1.5	sd1_y_obs
y_obs	condition1	1375.0	1.5	sd1_y_obs
y_obs	condition1	1063.0	1.5	sd1_y_obs
y_obs	condition1	775.0	1.5	sd1_y_obs
y_obs	condition1	883.0	2.0	sd1_y_obs
y_obs	condition1	668.0	2.0	sd1_y_obs
y_obs	condition1	974.0	2.0	sd1_y_obs
y_obs	condition1	430.0	2.0	sd1_y_obs
y_obs	condition1	905.0	2.0	sd1_y_obs
y_obs	condition1	674.0	2.0	sd1_y_obs
y_obs	condition1	311.0	2.5	sd1_y_obs
y_obs	condition1	641.0	2.5	sd1_y_obs
y_obs	condition1	688.0	2.5	sd1_y_obs
y_obs	condition1	578.0	2.5	sd1_y_obs
y_obs	condition1	453.0	2.5	sd1_y_obs
y_obs	condition1	604.0	2.5	sd1_y_obs
y_obs	condition1	316.0	3.0	sd1_y_obs
y_obs	condition1	664.0	3.0	sd1_y_obs
y_obs	condition1	553.0	3.0	sd1_y_obs
y_obs	condition1	433.0	3.0	sd1_y_obs
y_obs	condition1	331.0	3.0	sd1_y_obs
y_obs	condition1	370.0	3.0	sd1_y_obs
y_obs	condition1	227.0	4.0	sd1_y_obs
y_obs	condition1	404.0	4.0	sd1_y_obs
y_obs	condition1	102.0	4.0	sd1_y_obs
y_obs	condition1	24.0	4.0	sd1_y_obs
y_obs	condition1	113.0	4.0	sd1_y_obs
y_obs	condition1	43.0	4.0	sd1_y_obs
y_obs	condition1	10.0	6.0	sd1_y_obs
y_obs	condition1	91.0	6.0	sd1_y_obs
y_obs	condition1	10.0	6.0	sd1_y_obs
y_obs	condition1	10.0	6.0	sd1_y_obs
y_obs	condition1	10.0	6.0	sd1_y_obs
y_obs	condition1	10.0	6.0	sd1_y_obs
