observableId	simulationConditionId	measurement	time	noiseParameters
y_obs	condition1	100.0	0.0	sd1_y_obs
y_obs	condition1	100.0	0.0	sd1_y_obs
y_obs	condition1	100.0	0.0	sd1_y_obs
y_obs	condition1	100.0	0.0	sd1_y_obs
y_obs	condition1	1198.0	0.167	sd1_y_obs
y_obs	condition1	557.0	0.167	sd1_y_obs
y_obs	condition1	839.0	0.167	sd1_y_obs
y_obs	condition1	54.300000000000004	0.167	sd1_y_obs
y_obs	condition1	353.0	0.5	sd1_y_obs
y_obs	condition1	1345.0	0.5	sd1_y_obs
y_obs	condition1	1200.0	0.5	sd1_y_obs
y_obs	condition1	255.0	0.5	sd1_y_obs
y_obs	condition1	1120.0	1.0	sd1_y_obs
y_obs	condition1	1471.0	1.0	sd1_y_obs
y_obs	condition1	1148.0	1.0	sd1_y_obs
y_obs	condition1	1257.0	1.0	sd1_y_obs
y_obs	condition1	576.0	1.5	sd1_y_obs
y_obs	condition1	1523.0	1.5	sd1_y_obs
y_obs	condition1	587.0	1.5	sd1_y_obs
y_obs	condition1	1210.0	1.5	sd1_y_obs
y_obs	condition1	617.0	2.0	sd1_y_obs
y_obs	condition1	679.0	2.0	sd1_y_obs
y_obs	condition1	671.0	2.0	sd1_y_obs
y_obs	condition1	915.0	2.0	sd1_y_obs
y_obs	condition1	456.0	2.5	sd1_y_obs
y_obs	condition1	557.0	2.5	sd1_y_obs
y_obs	condition1	555.0	2.5	sd1_y_obs
y_obs	condition1	375.0	2.5	sd1_y_obs
y_obs	condition1	410.0	3.0	sd1_y_obs
y_obs	condition1	231.0	3.0	sd1_y_obs
y_obs	condition1	479.0	3.0	sd1_y_obs
y_obs	condition1	340.0	3.0	sd1_y_obs
y_obs	condition1	237.0	4.0	sd1_y_obs
y_obs	condition1	167.0	4.0	sd1_y_obs
y_obs	condition1	219.0	4.0	sd1_y_obs
y_obs	condition1	207.0	4.0	sd1_y_obs
y_obs	condition1	27.0	6.0	sd1_y_obs
y_obs	condition1	10.0	6.0	sd1_y_obs
y_obs	condition1	37.0	6.0	sd1_y_obs
y_obs	condition1	40.0	6.0	sd1_y_obs
