observableId	simulationConditionId	measurement	time	noiseParameters
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	15.0	0.167	sd1_y_obs
y_obs	condition1	11.0	0.167	sd1_y_obs
y_obs	condition1	16.0	0.167	sd1_y_obs
y_obs	condition1	25.0	0.167	sd1_y_obs
y_obs	condition1	32.0	0.5	sd1_y_obs
y_obs	condition1	31.0	0.5	sd1_y_obs
y_obs	condition1	25.0	0.5	sd1_y_obs
y_obs	condition1	38.0	0.5	sd1_y_obs
y_obs	condition1	18.0	1.0	sd1_y_obs
y_obs	condition1	34.0	1.0	sd1_y_obs
y_obs	condition1	18.0	1.0	sd1_y_obs
y_obs	condition1	26.0	1.0	sd1_y_obs
y_obs	condition1	9.7	1.5	sd1_y_obs
y_obs	condition1	7.0	1.5	sd1_y_obs
y_obs	condition1	10.0	1.5	sd1_y_obs
y_obs	condition1	10.0	1.5	sd1_y_obs
y_obs	condition1	6.0	2.0	sd1_y_obs
y_obs	condition1	6.8	2.0	sd1_y_obs
y_obs	condition1	6.5	2.0	sd1_y_obs
y_obs	condition1	6.6	2.0	sd1_y_obs
y_obs	condition1	4.2	2.5	sd1_y_obs
y_obs	condition1	4.7	2.5	sd1_y_obs
y_obs	condition1	5.4	2.5	sd1_y_obs
y_obs	condition1	3.6	2.5	sd1_y_obs
y_obs	condition1	2.9	3.0	sd1_y_obs
y_obs	condition1	4.1	3.0	sd1_y_obs
y_obs	condition1	5.8	3.0	sd1_y_obs
y_obs	condition1	4.2	3.0	sd1_y_obs
y_obs	condition1	2.8	4.0	sd1_y_obs
y_obs	condition1	3.1	4.0	sd1_y_obs
y_obs	condition1	2.1	4.0	sd1_y_obs
y_obs	condition1	1.2	4.0	sd1_y_obs
y_obs	condition1	1.3	6.0	sd1_y_obs
y_obs	condition1	0.6	6.0	sd1_y_obs
y_obs	condition1	0.6	6.0	sd1_y_obs
y_obs	condition1	0.5	6.0	sd1_y_obs
