observableId	simulationConditionId	measurement	time	noiseParameters
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	273.0	0.167	sd1_y_obs
y_obs	condition1	225.0	0.167	sd1_y_obs
y_obs	condition1	210.0	0.167	sd1_y_obs
y_obs	condition1	292.0	0.167	sd1_y_obs
y_obs	condition1	187.0	0.5	sd1_y_obs
y_obs	condition1	142.0	0.5	sd1_y_obs
y_obs	condition1	178.0	0.5	sd1_y_obs
y_obs	condition1	191.0	0.5	sd1_y_obs
y_obs	condition1	92.0	1.0	sd1_y_obs
y_obs	condition1	128.0	1.0	sd1_y_obs
y_obs	condition1	96.0	1.0	sd1_y_obs
y_obs	condition1	122.0	1.0	sd1_y_obs
y_obs	condition1	45.0	1.5	sd1_y_obs
y_obs	condition1	39.0	1.5	sd1_y_obs
y_obs	condition1	67.0	1.5	sd1_y_obs
y_obs	condition1	65.0	1.5	sd1_y_obs
y_obs	condition1	30.0	2.0	sd1_y_obs
y_obs	condition1	35.0	2.0	sd1_y_obs
y_obs	condition1	42.0	2.0	sd1_y_obs
y_obs	condition1	44.0	2.0	sd1_y_obs
y_obs	condition1	21.0	2.5	sd1_y_obs
y_obs	condition1	30.0	2.5	sd1_y_obs
y_obs	condition1	30.0	2.5	sd1_y_obs
y_obs	condition1	27.0	2.5	sd1_y_obs
y_obs	condition1	18.0	3.0	sd1_y_obs
y_obs	condition1	24.0	3.0	sd1_y_obs
y_obs	condition1	30.0	3.0	sd1_y_obs
y_obs	condition1	26.0	3.0	sd1_y_obs
y_obs	condition1	13.0	4.0	sd1_y_obs
y_obs	condition1	17.0	4.0	sd1_y_obs
y_obs	condition1	14.0	4.0	sd1_y_obs
y_obs	condition1	12.0	4.0	sd1_y_obs
y_obs	condition1	7.9	6.0	sd1_y_obs
y_obs	condition1	11.0	6.0	sd1_y_obs
y_obs	condition1	6.7	6.0	sd1_y_obs
y_obs	condition1	7.9	6.0	sd1_y_obs
