observableId	simulationConditionId	measurement	time	noiseParameters
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	43.0	0.167	sd1_y_obs
y_obs	condition1	36.0	0.167	sd1_y_obs
y_obs	condition1	32.0	0.167	sd1_y_obs
y_obs	condition1	32.0	0.167	sd1_y_obs
y_obs	condition1	32.0	0.167	sd1_y_obs
y_obs	condition1	35.0	0.167	sd1_y_obs
y_obs	condition1	34.0	0.5	sd1_y_obs
y_obs	condition1	42.0	0.5	sd1_y_obs
y_obs	condition1	33.0	0.5	sd1_y_obs
y_obs	condition1	30.0	0.5	sd1_y_obs
y_obs	condition1	34.0	0.5	sd1_y_obs
y_obs	condition1	39.0	0.5	sd1_y_obs
y_obs	condition1	26.0	1.0	sd1_y_obs
y_obs	condition1	31.0	1.0	sd1_y_obs
y_obs	condition1	29.0	1.0	sd1_y_obs
y_obs	condition1	32.0	1.0	sd1_y_obs
y_obs	condition1	30.0	1.0	sd1_y_obs
y_obs	condition1	35.0	1.0	sd1_y_obs
y_obs	condition1	16.0	1.5	sd1_y_obs
y_obs	condition1	20.0	1.5	sd1_y_obs
y_obs	condition1	22.0	1.5	sd1_y_obs
y_obs	condition1	18.0	1.5	sd1_y_obs
y_obs	condition1	14.0	1.5	sd1_y_obs
y_obs	condition1	19.0	1.5	sd1_y_obs
y_obs	condition1	9.6	2.0	sd1_y_obs
y_obs	condition1	13.0	2.0	sd1_y_obs
y_obs	condition1	10.0	2.0	sd1_y_obs
y_obs	condition1	13.0	2.0	sd1_y_obs
y_obs	condition1	12.0	2.0	sd1_y_obs
y_obs	condition1	14.0	2.0	sd1_y_obs
y_obs	condition1	5.1	2.5	sd1_y_obs
y_obs	condition1	11.0	2.5	sd1_y_obs
y_obs	condition1	8.9	2.5	sd1_y_obs
y_obs	condition1	6.9	2.5	sd1_y_obs
y_obs	condition1	5.1	2.5	sd1_y_obs
y_obs	condition1	7.9	2.5	sd1_y_obs
y_obs	condition1	5.0	3.0	sd1_y_obs
y_obs	condition1	6.6	3.0	sd1_y_obs
y_obs	condition1	5.0	3.0	sd1_y_obs
y_obs	condition1	6.4	3.0	sd1_y_obs
y_obs	condition1	3.6	3.0	sd1_y_obs
y_obs	condition1	6.8	3.0	sd1_y_obs
y_obs	condition1	2.2	4.0	sd1_y_obs
y_obs	condition1	5.0	4.0	sd1_y_obs
y_obs	condition1	2.7	4.0	sd1_y_obs
y_obs	condition1	5.0	4.0	sd1_y_obs
y_obs	condition1	2.0	4.0	sd1_y_obs
y_obs	condition1	4.0	4.0	sd1_y_obs
y_obs	condition1	1.2	6.0	sd1_y_obs
y_obs	condition1	2.5	6.0	sd1_y_obs
y_obs	condition1	2.5	6.0	sd1_y_obs
y_obs	condition1	2.8	6.0	sd1_y_obs
y_obs	condition1	1.4	6.0	sd1_y_obs
y_obs	condition1	4.1	6.0	sd1_y_obs
