observableId	simulationConditionId	measurement	time	noiseParameters	replicateId
mid_plasma_obs	condition1	0.1	0.0	sd1_y_obs	0
mid_plasma_obs	condition1	0.1	0.0	sd1_y_obs	0
mid_plasma_obs	condition1	0.1	0.0	sd1_y_obs	0
mid_plasma_obs	condition1	0.1	0.0	sd1_y_obs	0
mid_plasma_obs	condition1	13.9	0.167	sd1_y_obs	0
mid_plasma_obs	condition1	11.2	0.167	sd1_y_obs	0
mid_plasma_obs	condition1	97.4	0.167	sd1_y_obs	0
mid_plasma_obs	condition1	37.2	0.167	sd1_y_obs	0
mid_plasma_obs	condition1	23.6	0.5	sd1_y_obs	0
mid_plasma_obs	condition1	116.5	0.5	sd1_y_obs	0
mid_plasma_obs	condition1	83.0	0.5	sd1_y_obs	1
mid_plasma_obs	condition1	14.8	0.5	sd1_y_obs	1
mid_plasma_obs	condition1	4.7	1.0	sd1_y_obs	1
mid_plasma_obs	condition1	26.0	1.0	sd1_y_obs	1
mid_plasma_obs	condition1	45.4	1.0	sd1_y_obs	1
mid_plasma_obs	condition1	5.2	1.0	sd1_y_obs	1
mid_plasma_obs	condition1	3.3	1.5	sd1_y_obs	1
mid_plasma_obs	condition1	7.5	1.5	sd1_y_obs	1
mid_plasma_obs	condition1	4.0	1.5	sd1_y_obs	1
mid_plasma_obs	condition1	23.6	1.5	sd1_y_obs	1
mid_plasma_obs	condition1	2.3	2.0	sd1_y_obs	2
mid_plasma_obs	condition1	2.1	2.0	sd1_y_obs	2
mid_plasma_obs	condition1	11.1	2.0	sd1_y_obs	2
mid_plasma_obs	condition1	14.6	2.0	sd1_y_obs	2
mid_plasma_obs	condition1	11.6	2.5	sd1_y_obs	2
mid_plasma_obs	condition1	3.9	2.5	sd1_y_obs	2
mid_plasma_obs	condition1	2.6	2.5	sd1_y_obs	2
mid_plasma_obs	condition1	1.9	2.5	sd1_y_obs	2
mid_plasma_obs	condition1	1.4	3.0	sd1_y_obs	2
mid_plasma_obs	condition1	2.1	3.0	sd1_y_obs	2
mid_plasma_obs	condition1	8.0	3.0	sd1_y_obs	3
mid_plasma_obs	condition1	2.5	3.0	sd1_y_obs	3
mid_plasma_obs	condition1	1.2	4.0	sd1_y_obs	3
mid_plasma_obs	condition1	1.2	4.0	sd1_y_obs	3
mid_plasma_obs	condition1	3.7	4.0	sd1_y_obs	3
mid_plasma_obs	condition1	0.1	4.0	sd1_y_obs	3
mid_plasma_obs	condition1	0.1	6.0	sd1_y_obs	3
mid_plasma_obs	condition1	0.1	6.0	sd1_y_obs	3
mid_plasma_obs	condition1	1.2	6.0	sd1_y_obs	3
mid_plasma_obs	condition1	0.1	6.0	sd1_y_obs	3
