observableId	simulationConditionId	measurement	time	noiseParameters
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	229.0	0.167	sd1_y_obs
y_obs	condition1	163.0	0.167	sd1_y_obs
y_obs	condition1	183.0	0.167	sd1_y_obs
y_obs	condition1	238.0	0.167	sd1_y_obs
y_obs	condition1	320.0	0.5	sd1_y_obs
y_obs	condition1	310.0	0.5	sd1_y_obs
y_obs	condition1	224.0	0.5	sd1_y_obs
y_obs	condition1	292.0	0.5	sd1_y_obs
y_obs	condition1	188.0	1.0	sd1_y_obs
y_obs	condition1	379.0	1.0	sd1_y_obs
y_obs	condition1	146.0	1.0	sd1_y_obs
y_obs	condition1	214.0	1.0	sd1_y_obs
y_obs	condition1	102.0	1.5	sd1_y_obs
y_obs	condition1	81.0	1.5	sd1_y_obs
y_obs	condition1	98.0	1.5	sd1_y_obs
y_obs	condition1	99.0	1.5	sd1_y_obs
y_obs	condition1	67.0	2.0	sd1_y_obs
y_obs	condition1	79.0	2.0	sd1_y_obs
y_obs	condition1	62.0	2.0	sd1_y_obs
y_obs	condition1	73.0	2.0	sd1_y_obs
y_obs	condition1	45.0	2.5	sd1_y_obs
y_obs	condition1	56.0	2.5	sd1_y_obs
y_obs	condition1	59.0	2.5	sd1_y_obs
y_obs	condition1	50.0	2.5	sd1_y_obs
y_obs	condition1	33.0	3.0	sd1_y_obs
y_obs	condition1	51.0	3.0	sd1_y_obs
y_obs	condition1	72.0	3.0	sd1_y_obs
y_obs	condition1	61.0	3.0	sd1_y_obs
y_obs	condition1	30.0	4.0	sd1_y_obs
y_obs	condition1	78.0	4.0	sd1_y_obs
y_obs	condition1	52.0	4.0	sd1_y_obs
y_obs	condition1	45.0	4.0	sd1_y_obs
y_obs	condition1	59.0	6.0	sd1_y_obs
y_obs	condition1	65.0	6.0	sd1_y_obs
y_obs	condition1	45.0	6.0	sd1_y_obs
y_obs	condition1	44.0	6.0	sd1_y_obs
