observableId	simulationConditionId	measurement	time	noiseParameters
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	31.5	0.167	sd1_y_obs
y_obs	condition1	11.4	0.167	sd1_y_obs
y_obs	condition1	17.0	0.167	sd1_y_obs
y_obs	condition1	8.7	0.167	sd1_y_obs
y_obs	condition1	17.6	0.167	sd1_y_obs
y_obs	condition1	13.5	0.167	sd1_y_obs
y_obs	condition1	121.6	0.5	sd1_y_obs
y_obs	condition1	54.8	0.5	sd1_y_obs
y_obs	condition1	19.7	0.5	sd1_y_obs
y_obs	condition1	28.4	0.5	sd1_y_obs
y_obs	condition1	35.2	0.5	sd1_y_obs
y_obs	condition1	43.1	0.5	sd1_y_obs
y_obs	condition1	71.2	1.0	sd1_y_obs
y_obs	condition1	68.3	1.0	sd1_y_obs
y_obs	condition1	47.6	1.0	sd1_y_obs
y_obs	condition1	31.4	1.0	sd1_y_obs
y_obs	condition1	210.5	1.0	sd1_y_obs
y_obs	condition1	140.2	1.0	sd1_y_obs
y_obs	condition1	15.7	1.5	sd1_y_obs
y_obs	condition1	23.3	1.5	sd1_y_obs
y_obs	condition1	138.0	1.5	sd1_y_obs
y_obs	condition1	19.6	1.5	sd1_y_obs
y_obs	condition1	42.4	1.5	sd1_y_obs
y_obs	condition1	12.9	1.5	sd1_y_obs
y_obs	condition1	7.4	2.0	sd1_y_obs
y_obs	condition1	83.7	2.0	sd1_y_obs
y_obs	condition1	57.6	2.0	sd1_y_obs
y_obs	condition1	5.3	2.0	sd1_y_obs
y_obs	condition1	11.8	2.0	sd1_y_obs
y_obs	condition1	9.0	2.0	sd1_y_obs
y_obs	condition1	4.1	2.5	sd1_y_obs
y_obs	condition1	6.9	2.5	sd1_y_obs
y_obs	condition1	3.3	2.5	sd1_y_obs
y_obs	condition1	2.1	2.5	sd1_y_obs
y_obs	condition1	5.9	2.5	sd1_y_obs
y_obs	condition1	3.5	2.5	sd1_y_obs
y_obs	condition1	3.3	3.0	sd1_y_obs
y_obs	condition1	5.1	3.0	sd1_y_obs
y_obs	condition1	6.5	3.0	sd1_y_obs
y_obs	condition1	1.0	3.0	sd1_y_obs
y_obs	condition1	3.8	3.0	sd1_y_obs
y_obs	condition1	8.6	3.0	sd1_y_obs
y_obs	condition1	3.9	4.0	sd1_y_obs
y_obs	condition1	22.6	4.0	sd1_y_obs
y_obs	condition1	1.0	4.0	sd1_y_obs
y_obs	condition1	5.5	4.0	sd1_y_obs
y_obs	condition1	22.9	4.0	sd1_y_obs
y_obs	condition1	46.1	4.0	sd1_y_obs
y_obs	condition1	9.4	6.0	sd1_y_obs
y_obs	condition1	10.2	6.0	sd1_y_obs
y_obs	condition1	15.7	6.0	sd1_y_obs
y_obs	condition1	40.8	6.0	sd1_y_obs
y_obs	condition1	7.0	6.0	sd1_y_obs
y_obs	condition1	10.9	6.0	sd1_y_obs
