observableId	simulationConditionId	measurement	time	noiseParameters	replicateId
caf_plasma_obs	condition1	100.0	0.0	sd1_y_obs	0
caf_plasma_obs	condition1	100.0	0.0	sd1_y_obs	0
caf_plasma_obs	condition1	100.0	0.0	sd1_y_obs	0
caf_plasma_obs	condition1	100.0	0.0	sd1_y_obs	0
caf_plasma_obs	condition1	100.0	0.0	sd1_y_obs	0
caf_plasma_obs	condition1	100.0	0.0	sd1_y_obs	0
caf_plasma_obs	condition1	1650.0	0.167	sd1_y_obs	0
caf_plasma_obs	condition1	744.0	0.167	sd1_y_obs	0
caf_plasma_obs	condition1	840.0	0.167	sd1_y_obs	0
caf_plasma_obs	condition1	1480.0	0.167	sd1_y_obs	0
caf_plasma_obs	condition1	1530.0	0.167	sd1_y_obs	1
caf_plasma_obs	condition1	390.0	0.167	sd1_y_obs	1
caf_plasma_obs	condition1	868.0	0.5	sd1_y_obs	1
caf_plasma_obs	condition1	323.0	0.5	sd1_y_obs	1
caf_plasma_obs	condition1	996.3	0.5	sd1_y_obs	1
caf_plasma_obs	condition1	1740.0	0.5	sd1_y_obs	1
caf_plasma_obs	condition1	1847.0	0.5	sd1_y_obs	1
caf_plasma_obs	condition1	472.0	0.5	sd1_y_obs	1
caf_plasma_obs	condition1	591.0	1.0	sd1_y_obs	1
caf_plasma_obs	condition1	1738.0	1.0	sd1_y_obs	1
caf_plasma_obs	condition1	1282.0	1.0	sd1_y_obs	2
caf_plasma_obs	condition1	278.0	1.0	sd1_y_obs	2
caf_plasma_obs	condition1	282.0	1.0	sd1_y_obs	2
caf_plasma_obs	condition1	514.0	1.0	sd1_y_obs	2
caf_plasma_obs	condition1	431.0	1.5	sd1_y_obs	2
caf_plasma_obs	condition1	200.0	1.5	sd1_y_obs	2
caf_plasma_obs	condition1	201.0	1.5	sd1_y_obs	2
caf_plasma_obs	condition1	617.0	1.5	sd1_y_obs	2
caf_plasma_obs	condition1	1000.9999999999999	1.5	sd1_y_obs	2
caf_plasma_obs	condition1	354.0	1.5	sd1_y_obs	2
caf_plasma_obs	condition1	380.0	2.0	sd1_y_obs	3
caf_plasma_obs	condition1	113.0	2.0	sd1_y_obs	3
caf_plasma_obs	condition1	123.0	2.0	sd1_y_obs	3
caf_plasma_obs	condition1	442.0	2.0	sd1_y_obs	3
caf_plasma_obs	condition1	644.0	2.0	sd1_y_obs	3
caf_plasma_obs	condition1	600.0	2.0	sd1_y_obs	3
caf_plasma_obs	condition1	49.0	2.5	sd1_y_obs	3
caf_plasma_obs	condition1	78.0	2.5	sd1_y_obs	3
caf_plasma_obs	condition1	56.0	2.5	sd1_y_obs	3
caf_plasma_obs	condition1	69.0	2.5	sd1_y_obs	3
caf_plasma_obs	condition1	515.0	2.5	sd1_y_obs	4
caf_plasma_obs	condition1	214.0	2.5	sd1_y_obs	4
caf_plasma_obs	condition1	41.0	3.0	sd1_y_obs	4
caf_plasma_obs	condition1	53.0	3.0	sd1_y_obs	4
caf_plasma_obs	condition1	126.0	3.0	sd1_y_obs	4
caf_plasma_obs	condition1	28.0	3.0	sd1_y_obs	4
caf_plasma_obs	condition1	309.0	3.0	sd1_y_obs	4
caf_plasma_obs	condition1	98.0	3.0	sd1_y_obs	4
caf_plasma_obs	condition1	10.0	4.0	sd1_y_obs	4
caf_plasma_obs	condition1	10.0	4.0	sd1_y_obs	4
caf_plasma_obs	condition1	77.0	4.0	sd1_y_obs	5
caf_plasma_obs	condition1	10.0	4.0	sd1_y_obs	5
caf_plasma_obs	condition1	95.0	4.0	sd1_y_obs	5
caf_plasma_obs	condition1	98.0	4.0	sd1_y_obs	5
caf_plasma_obs	condition1	10.0	6.0	sd1_y_obs	5
caf_plasma_obs	condition1	10.0	6.0	sd1_y_obs	5
caf_plasma_obs	condition1	10.0	6.0	sd1_y_obs	5
caf_plasma_obs	condition1	10.0	6.0	sd1_y_obs	5
caf_plasma_obs	condition1	10.0	6.0	sd1_y_obs	5
caf_plasma_obs	condition1	10.0	6.0	sd1_y_obs	5
