observableId	simulationConditionId	measurement	time	noiseParameters
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	20.0	0.167	sd1_y_obs
y_obs	condition1	25.0	0.167	sd1_y_obs
y_obs	condition1	9.1	0.167	sd1_y_obs
y_obs	condition1	14.0	0.167	sd1_y_obs
y_obs	condition1	13.0	0.167	sd1_y_obs
y_obs	condition1	3.4	0.167	sd1_y_obs
y_obs	condition1	24.0	0.5	sd1_y_obs
y_obs	condition1	42.0	0.5	sd1_y_obs
y_obs	condition1	13.0	0.5	sd1_y_obs
y_obs	condition1	23.0	0.5	sd1_y_obs
y_obs	condition1	34.0	0.5	sd1_y_obs
y_obs	condition1	9.3	0.5	sd1_y_obs
y_obs	condition1	15.0	1.0	sd1_y_obs
y_obs	condition1	26.0	1.0	sd1_y_obs
y_obs	condition1	9.6	1.0	sd1_y_obs
y_obs	condition1	11.0	1.0	sd1_y_obs
y_obs	condition1	32.0	1.0	sd1_y_obs
y_obs	condition1	7.7	1.0	sd1_y_obs
y_obs	condition1	6.4	1.5	sd1_y_obs
y_obs	condition1	13.0	1.5	sd1_y_obs
y_obs	condition1	3.8	1.5	sd1_y_obs
y_obs	condition1	5.3	1.5	sd1_y_obs
y_obs	condition1	19.0	1.5	sd1_y_obs
y_obs	condition1	3.7	1.5	sd1_y_obs
y_obs	condition1	3.4	2.0	sd1_y_obs
y_obs	condition1	7.2	2.0	sd1_y_obs
y_obs	condition1	1.3	2.0	sd1_y_obs
y_obs	condition1	2.6	2.0	sd1_y_obs
y_obs	condition1	7.9	2.0	sd1_y_obs
y_obs	condition1	1.5	2.0	sd1_y_obs
y_obs	condition1	1.8	2.5	sd1_y_obs
y_obs	condition1	4.2	2.5	sd1_y_obs
y_obs	condition1	0.5	2.5	sd1_y_obs
y_obs	condition1	1.3	2.5	sd1_y_obs
y_obs	condition1	4.4	2.5	sd1_y_obs
y_obs	condition1	0.9	2.5	sd1_y_obs
y_obs	condition1	0.6	3.0	sd1_y_obs
y_obs	condition1	1.9	3.0	sd1_y_obs
y_obs	condition1	0.5	3.0	sd1_y_obs
y_obs	condition1	1.1	3.0	sd1_y_obs
y_obs	condition1	2.1	3.0	sd1_y_obs
y_obs	condition1	0.9	3.0	sd1_y_obs
y_obs	condition1	0.5	4.0	sd1_y_obs
y_obs	condition1	0.7	4.0	sd1_y_obs
y_obs	condition1	1.2	4.0	sd1_y_obs
y_obs	condition1	0.9	4.0	sd1_y_obs
y_obs	condition1	1.1	4.0	sd1_y_obs
y_obs	condition1	0.5	4.0	sd1_y_obs
y_obs	condition1	0.5	6.0	sd1_y_obs
y_obs	condition1	0.5	6.0	sd1_y_obs
y_obs	condition1	0.5	6.0	sd1_y_obs
y_obs	condition1	0.5	6.0	sd1_y_obs
y_obs	condition1	0.5	6.0	sd1_y_obs
y_obs	condition1	0.5	6.0	sd1_y_obs
