observableId	simulationConditionId	measurement	time	noiseParameters
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	10.0	0.167	sd1_y_obs
y_obs	condition1	10.0	0.167	sd1_y_obs
y_obs	condition1	7.7	0.167	sd1_y_obs
y_obs	condition1	5.0	0.167	sd1_y_obs
y_obs	condition1	7.2	0.167	sd1_y_obs
y_obs	condition1	11.0	0.167	sd1_y_obs
y_obs	condition1	5.5	0.5	sd1_y_obs
y_obs	condition1	8.1	0.5	sd1_y_obs
y_obs	condition1	4.4	0.5	sd1_y_obs
y_obs	condition1	3.1	0.5	sd1_y_obs
y_obs	condition1	5.8	0.5	sd1_y_obs
y_obs	condition1	8.2	0.5	sd1_y_obs
y_obs	condition1	3.6	1.0	sd1_y_obs
y_obs	condition1	3.0	1.0	sd1_y_obs
y_obs	condition1	2.4	1.0	sd1_y_obs
y_obs	condition1	1.7	1.0	sd1_y_obs
y_obs	condition1	3.8	1.0	sd1_y_obs
y_obs	condition1	3.5	1.0	sd1_y_obs
y_obs	condition1	1.5	1.5	sd1_y_obs
y_obs	condition1	2.1	1.5	sd1_y_obs
y_obs	condition1	0.8	1.5	sd1_y_obs
y_obs	condition1	0.5	1.5	sd1_y_obs
y_obs	condition1	1.6	1.5	sd1_y_obs
y_obs	condition1	1.8	1.5	sd1_y_obs
y_obs	condition1	1.2	2.0	sd1_y_obs
y_obs	condition1	2.5	2.0	sd1_y_obs
y_obs	condition1	0.1	2.0	sd1_y_obs
y_obs	condition1	0.1	2.0	sd1_y_obs
y_obs	condition1	0.5	2.0	sd1_y_obs
y_obs	condition1	0.5	2.0	sd1_y_obs
y_obs	condition1	0.6	2.5	sd1_y_obs
y_obs	condition1	2.0	2.5	sd1_y_obs
y_obs	condition1	0.1	2.5	sd1_y_obs
y_obs	condition1	0.1	2.5	sd1_y_obs
y_obs	condition1	0.2	2.5	sd1_y_obs
y_obs	condition1	0.4	2.5	sd1_y_obs
y_obs	condition1	0.6	3.0	sd1_y_obs
y_obs	condition1	1.0	3.0	sd1_y_obs
y_obs	condition1	0.1	3.0	sd1_y_obs
y_obs	condition1	0.1	3.0	sd1_y_obs
y_obs	condition1	0.0	3.0	sd1_y_obs
y_obs	condition1	0.7	3.0	sd1_y_obs
y_obs	condition1	3.3	4.0	sd1_y_obs
y_obs	condition1	0.7	4.0	sd1_y_obs
y_obs	condition1	0.1	4.0	sd1_y_obs
y_obs	condition1	1.2	4.0	sd1_y_obs
y_obs	condition1	1.0	4.0	sd1_y_obs
y_obs	condition1	1.3	4.0	sd1_y_obs
y_obs	condition1	1.8	6.0	sd1_y_obs
y_obs	condition1	2.1	6.0	sd1_y_obs
y_obs	condition1	2.3	6.0	sd1_y_obs
y_obs	condition1	0.8	6.0	sd1_y_obs
y_obs	condition1	1.3	6.0	sd1_y_obs
y_obs	condition1	1.5	6.0	sd1_y_obs
