observableId	simulationConditionId	measurement	time	noiseParameters
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	11.0	0.167	sd1_y_obs
y_obs	condition1	10.0	0.167	sd1_y_obs
y_obs	condition1	3.5	0.167	sd1_y_obs
y_obs	condition1	6.9	0.167	sd1_y_obs
y_obs	condition1	6.3	0.5	sd1_y_obs
y_obs	condition1	5.1	0.5	sd1_y_obs
y_obs	condition1	3.8	0.5	sd1_y_obs
y_obs	condition1	4.5	0.5	sd1_y_obs
y_obs	condition1	3.0	1.0	sd1_y_obs
y_obs	condition1	6.7	1.0	sd1_y_obs
y_obs	condition1	2.5	1.0	sd1_y_obs
y_obs	condition1	2.7	1.0	sd1_y_obs
y_obs	condition1	1.2	1.5	sd1_y_obs
y_obs	condition1	1.1	1.5	sd1_y_obs
y_obs	condition1	1.6	1.5	sd1_y_obs
y_obs	condition1	1.0	1.5	sd1_y_obs
y_obs	condition1	0.6	2.0	sd1_y_obs
y_obs	condition1	1.3	2.0	sd1_y_obs
y_obs	condition1	0.6	2.0	sd1_y_obs
y_obs	condition1	0.5	2.0	sd1_y_obs
y_obs	condition1	0.2	2.5	sd1_y_obs
y_obs	condition1	0.7	2.5	sd1_y_obs
y_obs	condition1	0.9	2.5	sd1_y_obs
y_obs	condition1	0.7	2.5	sd1_y_obs
y_obs	condition1	0.1	3.0	sd1_y_obs
y_obs	condition1	0.7	3.0	sd1_y_obs
y_obs	condition1	1.1	3.0	sd1_y_obs
y_obs	condition1	1.4	3.0	sd1_y_obs
y_obs	condition1	0.1	4.0	sd1_y_obs
y_obs	condition1	1.6	4.0	sd1_y_obs
y_obs	condition1	1.1	4.0	sd1_y_obs
y_obs	condition1	0.5	4.0	sd1_y_obs
y_obs	condition1	0.4	6.0	sd1_y_obs
y_obs	condition1	1.6	6.0	sd1_y_obs
y_obs	condition1	0.6	6.0	sd1_y_obs
y_obs	condition1	0.7	6.0	sd1_y_obs
