observableId	simulationConditionId	measurement	time	noiseParameters
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	40.0	0.167	sd1_y_obs
y_obs	condition1	39.0	0.167	sd1_y_obs
y_obs	condition1	30.0	0.167	sd1_y_obs
y_obs	condition1	28.0	0.167	sd1_y_obs
y_obs	condition1	33.0	0.167	sd1_y_obs
y_obs	condition1	26.0	0.167	sd1_y_obs
y_obs	condition1	32.0	0.5	sd1_y_obs
y_obs	condition1	35.0	0.5	sd1_y_obs
y_obs	condition1	25.0	0.5	sd1_y_obs
y_obs	condition1	26.0	0.5	sd1_y_obs
y_obs	condition1	30.0	0.5	sd1_y_obs
y_obs	condition1	32.0	0.5	sd1_y_obs
y_obs	condition1	25.0	1.0	sd1_y_obs
y_obs	condition1	25.0	1.0	sd1_y_obs
y_obs	condition1	22.0	1.0	sd1_y_obs
y_obs	condition1	15.0	1.0	sd1_y_obs
y_obs	condition1	25.0	1.0	sd1_y_obs
y_obs	condition1	21.0	1.0	sd1_y_obs
y_obs	condition1	13.0	1.5	sd1_y_obs
y_obs	condition1	18.0	1.5	sd1_y_obs
y_obs	condition1	11.0	1.5	sd1_y_obs
y_obs	condition1	9.7	1.5	sd1_y_obs
y_obs	condition1	15.0	1.5	sd1_y_obs
y_obs	condition1	9.8	1.5	sd1_y_obs
y_obs	condition1	9.0	2.0	sd1_y_obs
y_obs	condition1	13.0	2.0	sd1_y_obs
y_obs	condition1	6.3	2.0	sd1_y_obs
y_obs	condition1	5.5	2.0	sd1_y_obs
y_obs	condition1	10.0	2.0	sd1_y_obs
y_obs	condition1	6.8	2.0	sd1_y_obs
y_obs	condition1	6.0	2.5	sd1_y_obs
y_obs	condition1	7.4	2.5	sd1_y_obs
y_obs	condition1	2.7	2.5	sd1_y_obs
y_obs	condition1	4.7	2.5	sd1_y_obs
y_obs	condition1	7.0	2.5	sd1_y_obs
y_obs	condition1	5.8	2.5	sd1_y_obs
y_obs	condition1	4.1	3.0	sd1_y_obs
y_obs	condition1	5.6	3.0	sd1_y_obs
y_obs	condition1	2.4	3.0	sd1_y_obs
y_obs	condition1	2.9	3.0	sd1_y_obs
y_obs	condition1	5.9	3.0	sd1_y_obs
y_obs	condition1	4.0	3.0	sd1_y_obs
y_obs	condition1	2.4	4.0	sd1_y_obs
y_obs	condition1	2.4	4.0	sd1_y_obs
y_obs	condition1	2.5	4.0	sd1_y_obs
y_obs	condition1	1.9	4.0	sd1_y_obs
y_obs	condition1	3.5	4.0	sd1_y_obs
y_obs	condition1	2.8	4.0	sd1_y_obs
y_obs	condition1	1.9	6.0	sd1_y_obs
y_obs	condition1	1.9	6.0	sd1_y_obs
y_obs	condition1	1.2	6.0	sd1_y_obs
y_obs	condition1	0.9	6.0	sd1_y_obs
y_obs	condition1	1.9	6.0	sd1_y_obs
y_obs	condition1	0.5	6.0	sd1_y_obs
