observableId	simulationConditionId	measurement	time	noiseParameters
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	0.5	0.0	sd1_y_obs
y_obs	condition1	47.0	0.167	sd1_y_obs
y_obs	condition1	47.0	0.167	sd1_y_obs
y_obs	condition1	51.0	0.167	sd1_y_obs
y_obs	condition1	62.0	0.167	sd1_y_obs
y_obs	condition1	37.0	0.5	sd1_y_obs
y_obs	condition1	38.0	0.5	sd1_y_obs
y_obs	condition1	51.0	0.5	sd1_y_obs
y_obs	condition1	56.0	0.5	sd1_y_obs
y_obs	condition1	29.0	1.0	sd1_y_obs
y_obs	condition1	51.0	1.0	sd1_y_obs
y_obs	condition1	41.0	1.0	sd1_y_obs
y_obs	condition1	52.0	1.0	sd1_y_obs
y_obs	condition1	19.0	1.5	sd1_y_obs
y_obs	condition1	20.0	1.5	sd1_y_obs
y_obs	condition1	34.0	1.5	sd1_y_obs
y_obs	condition1	29.0	1.5	sd1_y_obs
y_obs	condition1	13.0	2.0	sd1_y_obs
y_obs	condition1	18.0	2.0	sd1_y_obs
y_obs	condition1	22.0	2.0	sd1_y_obs
y_obs	condition1	23.0	2.0	sd1_y_obs
y_obs	condition1	8.9	2.5	sd1_y_obs
y_obs	condition1	15.0	2.5	sd1_y_obs
y_obs	condition1	17.0	2.5	sd1_y_obs
y_obs	condition1	15.0	2.5	sd1_y_obs
y_obs	condition1	6.1	3.0	sd1_y_obs
y_obs	condition1	13.0	3.0	sd1_y_obs
y_obs	condition1	18.0	3.0	sd1_y_obs
y_obs	condition1	16.0	3.0	sd1_y_obs
y_obs	condition1	5.0	4.0	sd1_y_obs
y_obs	condition1	8.5	4.0	sd1_y_obs
y_obs	condition1	9.1	4.0	sd1_y_obs
y_obs	condition1	6.2	4.0	sd1_y_obs
y_obs	condition1	2.1	6.0	sd1_y_obs
y_obs	condition1	3.1	6.0	sd1_y_obs
y_obs	condition1	3.3	6.0	sd1_y_obs
y_obs	condition1	3.6	6.0	sd1_y_obs
