observableId	simulationConditionId	measurement	time	noiseParameters
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	0.1	0.0	sd1_y_obs
y_obs	condition1	14.3	0.167	sd1_y_obs
y_obs	condition1	14.1	0.167	sd1_y_obs
y_obs	condition1	107.7	0.167	sd1_y_obs
y_obs	condition1	41.0	0.167	sd1_y_obs
y_obs	condition1	51.2	0.5	sd1_y_obs
y_obs	condition1	271.8	0.5	sd1_y_obs
y_obs	condition1	205.6	0.5	sd1_y_obs
y_obs	condition1	36.9	0.5	sd1_y_obs
y_obs	condition1	14.6	1.0	sd1_y_obs
y_obs	condition1	96.6	1.0	sd1_y_obs
y_obs	condition1	131.2	1.0	sd1_y_obs
y_obs	condition1	13.5	1.0	sd1_y_obs
y_obs	condition1	13.1	1.5	sd1_y_obs
y_obs	condition1	23.1	1.5	sd1_y_obs
y_obs	condition1	9.9	1.5	sd1_y_obs
y_obs	condition1	89.6	1.5	sd1_y_obs
y_obs	condition1	9.0	2.0	sd1_y_obs
y_obs	condition1	5.6	2.0	sd1_y_obs
y_obs	condition1	37.9	2.0	sd1_y_obs
y_obs	condition1	46.0	2.0	sd1_y_obs
y_obs	condition1	55.7	2.5	sd1_y_obs
y_obs	condition1	18.1	2.5	sd1_y_obs
y_obs	condition1	9.7	2.5	sd1_y_obs
y_obs	condition1	6.6	2.5	sd1_y_obs
y_obs	condition1	3.7	3.0	sd1_y_obs
y_obs	condition1	7.7	3.0	sd1_y_obs
y_obs	condition1	51.0	3.0	sd1_y_obs
y_obs	condition1	15.7	3.0	sd1_y_obs
y_obs	condition1	3.3	4.0	sd1_y_obs
y_obs	condition1	11.2	4.0	sd1_y_obs
y_obs	condition1	33.4	4.0	sd1_y_obs
y_obs	condition1	8.1	4.0	sd1_y_obs
y_obs	condition1	8.6	6.0	sd1_y_obs
y_obs	condition1	2.1	6.0	sd1_y_obs
y_obs	condition1	6.2	6.0	sd1_y_obs
y_obs	condition1	31.2	6.0	sd1_y_obs
